eid,gp2025,fp2025
5125167,71,617
41171,136,754
31668,145,849
4722925,42,221
41606,64,774
41939,73,747
34986,116,803
4916269,33,1086
41247,54,541
40422,69,253
4313143,26,240
39915,28,838
36364,135,899
39671,14,595
41595,40,169
4905919,95,566
41308,70,834
41022,4,155
5202600,14,65
5214984,5,84
4872649,25,41
38295,31,1026
4142423,30,719
4298378,34,643
36056,57,483
42414,126,702
38420,142,849
33950,32,962
4448736,133,798
40950,80,794
33750,30,158
32127,124,663
42958,146,790
5002950,8,198
41337,69,672
42211,37,360
34068,49,577
5203102,42,157
33716,68,723
31258,23,822
36950,53,258
4881980,21,624
4417134,20,97
4719068,21,322
42401,119,656
33106,53,585
31392,96,360
42547,153,862
4417606,87,446
33263,29,824
4917685,12,34
35578,130,766
4917927,142,819
5131743,6,8
33842,122,488
36429,67,734
4872686,61,206
31095,28,176
4414210,112,426
41034,121,615
5201821,68,709
4917921,62,401
33218,63,450
41824,15,118
41674,88,234
36543,56,638
35682,131,801
5190073,19,626
4987418,20,146
33856,48,704
4867667,123,691
41261,8,214
32764,16,239
4416990,91,415
4717903,10,8
40934,23,559
4894467,53,561
4152950,36,235
5201814,29,1026
4918155,23,676
4872648,42,173
4621041,4,104
33793,32,385
35292,68,782
40538,152,1028
4416462,28,260
4917640,9,281
33301,65,356
34862,66,690
4991171,16,101
41174,108,521
33229,113,552
42987,75,326
39957,134,687
5002931,47,336
6341,29,908
5266086,7,83
42047,119,385
4418686,12,296
32783,103,399
4959037,35,194
5116851,17,199
4718970,11,189
5136082,67,680
40360,52,480
35291,90,520
41462,23,787
37237,146,703
42884,143,870
36052,32,1072
41263,128,507
41432,29,166
42001,129,595
4630789,69,569
33341,145,855
39680,15,23
42556,11,310
35062,138,754
5007859,14,66
40327,76,751
4872681,73,238
4843048,19,85
33743,94,579
3983833,70,580
39710,3,6
40626,11,306
33557,93,438
4722057,62,507
4109223,76,359
42449,29,1056
3978173,65,588
5016983,17,90
32811,31,975
41344,34,328
33247,151,663
5119607,72,679
40976,1,5
32005,30,283
5012120,118,575
5185136,3,132
32697,26,921
4415658,15,306
41575,19,63
5134614,63,242
31358,85,363
42479,97,204
36409,38,102
4151063,50,184
30791,108,500
4314013,66,263
4345843,130,495
41290,33,659
35759,2,10
4872598,55,309
4866810,48,746
4719088,4,-1
5131986,27,536
41183,120,564
35536,65,367
36133,13,148
4415836,13,334
